document_id,clean_text,sentiment
1,heavy handed,-1
2,beautiful film preachy,1
3,amazing cast set political message strong,1
4,hot pink mess,0
5,boring mindnumbing drivel,-1
6,people missing point,-1
7,depressing,-1
8,could great nd half brings,1
9,marketing entertaining actual movie,1
10,somewhat jumbled mess,-1
11,strong start thats,1
12,overhyped,0
13,technicolor dream,0
14,could much better,1
15,well really come surprise,1
16,mom saw yesterday thought,0
17,disappointing terribly preachy horrendous script great cast,0
18,ken ten,0
19,brilliant observation social depth missing,1
20,watch movie everyone else lol,1
21,reason seeing reason,0
22,overrated,0
23,hype real,1
24,everyone,0
25,fun film whose script fall,1
26,barbie weirdly fun movie,1
27,direction,0
28,preacher barbie,0
29,fun surprisingly touching,1
30,preach preach preach,0
31,live expectation,1
32,excellent marketing team,1
33,honestly funny light enough,1
34,barbie multifaceted exploration femininity consumerism existentialism,0
35,quite disappointing,-1
36,yall hate fun,-1
37,interesting concept deep expected,1
38,humorous moment story fell flat,1
39,kenough,0
40,expectation still underwhelmed,0
41,expected,0
42,boring movie,-1
43,misleading,0
44,question answer,0
45,were doll,0
46,unique expected,1
47,become barbie girl enjoyer barbie world,0
48,great first minute,1
49,marketing flick,0
50,wildly misunderstood poor reviewer,-1
51,triumph marketing poorly realised story,-1
52,little empty,-1
53,could better,1
54,margot,0
55,touching educational,1
56,sure keep listening im ken,1
57,loved,1
58,goodnot great,1
59,barbie swing miss,0
60,good far preachy,1
61,overhyped banal,-1
62,hit pink spot,0
63,made loved nonetheless,1
64,great acting movie,1
65,funny visually stunning emotional engaging,1
66,would preferred see minute tv sitcom,0
67,disappointing misleading,-1
68,literally perfect,1
69,barbie dissapointed,0
70,overrated sad,-1
71,letdown,0
72,good moment thats,1
73,colorful love letter human kind,1
74,overrated overhyped good film,1
75,kenough,0
76,alright,0
77,funny sharp first half boring baffling second one,-1
78,see preachy,-1
79,watch hr mattel advertisement,0
80,film saying think,0
81,abuse barbie,0
82,witty funny severly sterotypical,1
83,nostalgic trip feeling,-1
84,expected greta gerwig,0
85,amazing,1
86,great hamfisted message sloppy movie,1
87,movie try much,1
88,good,1
89,barbie land reality,0
90,fee sorry fell barbenheimer trap,-1
91,okayish fun,1
92,whats hoopla,0
93,movie everyone,0
94,solid bit overhyped,0
95,well deserving hype,1
96,real mixed bag,0
97,plastic worst way possible,-1
98,beautiful commentary real world,1
99,honestly idea people hyped,1
100,bafflingly mediocre,-1
101,life plastic,0
102,fun soundtrack story bit confusing,0
103,everything hes ken,0
104,serious barbie,-1
105,absolutely powerful movie changed perspective life,1
106,fall short greatness,0
107,brilliantly done,1
108,know describe,0
109,id probably drop around watched alone home,0
110,ken stuff go way long,0
111,kenough,0
112,great movie,1
113,im middle aged man daughter liked,1
114,see rely peoples review,0
115,barbie fun get focused social commentary plot justice,1
